group,playlist,artist,title,youtube_id,spotify_track_name,spotify_artist_name,spotify_id,confidence,flag
G1,official-pl-80s-easy,Def Leppard,Pour Some Sugar on Me,0UIB9Y4OFPs,Pour Some Sugar On Me,Def Leppard,1aZLIbKEdsyqxyD6iNcrbA,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,Journey,Don't Stop Believin',1k8craCGpgs,Don't Stop Believin',Journey,77NNZQSqzLNqh2A9JhLRkg,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,George Michael,Careless Whisper,izGwDsrQ1eQ,Careless Whisper,George Michael,5WDLRQ3VCdVrKw0njWe5E5,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,Dolly Parton,Nine to Five,UbxUSsFXYo4,9 to 5,Dolly Parton,4w3tQBXhn5345eUXDGBWZG,a1.00 t0.33,no-match
G1,official-pl-80s-easy,The Bangles,Walk Like an Egyptian,Cv6tuzHUuuk,Walk Like an Egyptian,The Bangles,1Jwc3ODLQxtbnS8M9TflSP,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,Journey,Separate Ways (Worlds Apart),LatorN4P9aA,Separate Ways (Worlds Apart) [2023 Remaster],Journey,1pTw2cNrp9L3esxLAvWnN2,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,Duran Duran,Rio,nTizYn3-QN0,Rio - 2009 Remaster,Duran Duran,43eBgYRTmu5BJnCJDBU5Hb,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,Dire Straits,Money for Nothing,wTP2RUD_cL0,Money For Nothing,Dire Straits,01Txvu3dNthhldq8oR0Pae,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,Spandau Ballet,True,AR8D2yqgQ1U,True - 2003 Remaster,Spandau Ballet,10I09MLZCY4pK37XxAfkw0,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,The Police,Every Breath You Take,iOT_zuDHvVk,Every Breath You Take,The Police,1JSTJqkT5qHq8MDJnJbRE1,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,The Buggles,Video Killed the Radio Star,W8r-tXRLazs,Video Killed The Radio Star,The Buggles,7o7E1nrHWncYY7PY94gCiX,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,Michael Jackson,Beat It,oRdxUFDoQe0,Beat It,Michael Jackson,3BovdzfaX4jb5KFQwoPfAw,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,Dexys Midnight Runners,Come On Eileen,GbpnAGajyMc,Come On Eileen,Dexys Midnight Runners,3MrWxJaD2AT0W9DjWF64Vm,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,Bruce Springsteen,Dancing in the Dark,129kuDCQtHs,Dancing In the Dark,Bruce Springsteen,7FwBtcecmlpc1sLySPXeGE,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,Pet Shop Boys,West End Girls,p3j2NYZ8FKs,West End Girls,Pet Shop Boys,5Dqik1P9toCJTLj5rEm78s,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,Nena,99 Luftballons,Fpu5a0Bl8eY,99 Luftballons,Nena,2IJftBfq7pJ43tfnOR0RB3,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,Tommy Tutone,867-5309/Jenny,6WTdTwcmxyo,867-5309 / Jenny,Tommy Tutone,6iX1f3r7oUJnMbGgQ2gx1j,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,Toni Basil,Mickey,0aqLwHP4y6Q,Mickey,Toni Basil,5b6v3PGTEXnOEh4hy9aPhS,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,Olivia Newton-John,Physical,vWz9VN40nCA,Physical (Remastered 2021),Olivia Newton-John,0bB0aRsAB2CTYRCeoMOFHU,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,Blondie,Call Me,StKVS0eI85I,Call Me,Blondie,7HKxTNVlkHsfMLhigmhC0I,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,Bonnie Tyler,Holding Out for a Hero,bWcASV2sey0,"Holding Out for a Hero - From ""Footloose"" Soundtrack",Bonnie Tyler,5Hyr47BBGpvOfcykSCcaw9,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,Belinda Carlisle,Heaven Is a Place on Earth,NOGEyBeoBGM,"Heaven Is a Place on Earth - Promo 7"" Edit",Belinda Carlisle,05yiiw2F3XXoighyveZTDs,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,The Clash,Should I Stay or Should I Go,BN1WwnEDWAM,Should I Stay or Should I Go - Remastered,The Clash,39shmbIHICJ2Wxnk1fPSdz,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,A Flock of Seagulls,I Ran (So Far Away),iIpfWORQWhU,I Ran (So Far Away),A Flock Of Seagulls,6vKVuBeExHlEh9cZ8Ppk8t,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,Toto,Rosanna,qmOLtTGvsbM,Rosanna,TOTO,37BTh5g05cxBIRYMbw8g2T,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,AC/DC,You Shook Me All Night Long,Lo2qQmj0_h4,You Shook Me All Night Long,AC/DC,2SiXAy7TuUkycRVbbWDEpo,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,Elton John,I'm Still Standing,ZHwVBirqD2s,I'm Still Standing,Elton John,1jDJFeK9x3OZboIAHsY9k2,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,Starship,Nothing's Gonna Stop Us Now,3wxyN3z9PL4,Nothing's Gonna Stop Us Now,Starship,3X7uFMzJrEE0sxn62qd8Ch,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,Tiffany,I Think We're Alone Now,w6Q3mHyzn78,I Think We're Alone Now,Tiffany,4uvjOKsp7mSjrDhWdkLPBY,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,Roxette,The Look,LlVI7ZNiFlI,The Look,Roxette,4Ln6CP07DElm8ay1RxyYa9,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,Irene Cara,Flashdance... What a Feeling,ILWSp0m9G2U,Flashdance...What a Feeling - Radio Edit,Irene Cara,3cbV252akVZInSvJk7jAYX,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,Los Lobos,La Bamba,Jp6j5HJ-Cok,La Bamba,Los Lobos,0uMMLry3hzWGn3q3loqMkm,a1.00 t1.00,auto-ok
G1,official-pl-80s-easy,Whitesnake,Here I Go Again,WyF8RHM1OCg,Here I Go Again - 1987 Version / 2018 Remaster,Whitesnake,58z9sfHe9s9zTvYGKehCWM,a1.00 t1.00,auto-ok
